%(x,y)=60686.083149, 16316.292042
       0.0104167         0.438478
       0.0208333         0.427943
         0.03125         0.410573
       0.0416667         0.386643
       0.0520833         0.356538
          0.0625         0.320737
       0.0729167         0.279812
       0.0833333         0.234418
         0.09375          0.18528
        0.104167         0.133181
        0.114583         0.078955
           0.125         0.023468
        0.135417        -0.032394
        0.145833        -0.087738
         0.15625        -0.141682
        0.166667        -0.193361
        0.177083        -0.241952
          0.1875        -0.286678
        0.197917        -0.326825
        0.208333        -0.361751
         0.21875        -0.390898
        0.229167        -0.413801
        0.239583        -0.430094
            0.25        -0.439516
        0.260417        -0.441917
        0.270833         -0.43726
         0.28125        -0.425617
        0.291667        -0.407176
        0.302083         -0.38223
          0.3125        -0.351179
        0.322917        -0.314517
        0.333333        -0.272831
         0.34375        -0.226788
        0.354167        -0.177121
        0.364583        -0.124626
           0.375        -0.070139
        0.385417        -0.014532
        0.395833         0.041307
         0.40625         0.096487
        0.416667         0.150124
        0.427083         0.201364
          0.4375         0.249388
        0.447917         0.293428
        0.458333          0.33278
         0.46875         0.366816
        0.479167         0.394993
        0.489583          0.41686
             0.5         0.432068
        0.510417         0.440374
        0.520833         0.441646
         0.53125         0.435863
        0.541667         0.423117
        0.552083         0.403613
          0.5625          0.37766
        0.572917         0.345676
        0.583333         0.308169
         0.59375         0.265739
        0.604167         0.219065
        0.614583         0.168891
           0.625          0.11602
        0.635417         0.061295
        0.645833          0.00559
         0.65625        -0.050203
        0.666667        -0.105195
        0.677083        -0.158506
          0.6875        -0.209285
        0.697917        -0.256721
        0.708333        -0.300056
         0.71875        -0.338598
        0.729167        -0.371731
        0.739583        -0.398926
            0.75        -0.419749
        0.760417        -0.433866
        0.770833        -0.441052
         0.78125        -0.441194
        0.791667        -0.434287
        0.802083        -0.420444
          0.8125        -0.399884
        0.822917        -0.372936
        0.833333        -0.340031
         0.84375        -0.301694
        0.854167        -0.258538
        0.864583        -0.211252
           0.875        -0.160592
        0.885417        -0.107366
        0.895833        -0.052424
         0.90625         0.003354
        0.916667         0.059079
        0.927083          0.11386
          0.9375         0.166822
        0.947917          0.21712
        0.958333         0.263949
         0.96875         0.306562
        0.979167         0.344278
        0.989583         0.376494
               1         0.402696
         1.01042         0.422465
         1.02083         0.435486
         1.03125          0.44155
         1.04167         0.440561
         1.05208         0.432534
          1.0625         0.417599
         1.07292         0.395992
         1.08333         0.368059
         1.09375         0.334247
         1.10417         0.295096
         1.11458         0.251231
           1.125         0.203353
         1.13542         0.152226
         1.14583         0.098668
         1.15625         0.043534
         1.16667        -0.012297
         1.17708         -0.06793
          1.1875        -0.122478
         1.19792         -0.17507
         1.20833        -0.224866
         1.21875        -0.271069
         1.22917        -0.312941
         1.23958        -0.349816
            1.25        -0.381102
         1.26042          -0.4063
         1.27083        -0.425008
         1.28125        -0.436928
         1.29167        -0.441866
         1.30208        -0.439748
          1.3125        -0.430604
         1.32292        -0.414582
         1.33333        -0.391937
         1.34375        -0.363031
         1.35417        -0.328326
         1.36458        -0.288377
           1.375        -0.243821
         1.38542         -0.19537
         1.39583        -0.143799
         1.40625         -0.08993
         1.41667        -0.034624
         1.42708         0.021235
          1.4375         0.076754
         1.44792         0.131047
         1.45833         0.183247
         1.46875          0.23252
         1.47917         0.278078
         1.48958         0.319194
             1.5         0.355211
         1.51042         0.385554
         1.52083         0.409739
         1.53125         0.427378
         1.54167          0.43819
         1.55208         0.442002
          1.5625         0.438754
         1.57292         0.428497
         1.58333         0.411396
         1.59375         0.387722
         1.60417         0.357855
         1.61458         0.322271
           1.625          0.28154
         1.63542         0.236311
         1.64583         0.187307
         1.65625         0.135312
         1.66667         0.081155
         1.67708         0.025701
          1.6875        -0.030163
         1.69792        -0.085546
         1.70833        -0.139561
         1.71875        -0.191348
         1.72917        -0.240078
         1.73958        -0.284973
            1.75        -0.325315
         1.76042        -0.360461
         1.77083        -0.389849
         1.78125         -0.41301
         1.79167        -0.429572
         1.80208        -0.439273
          1.8125        -0.441957
         1.82292        -0.437581
         1.83333        -0.426215
         1.84375        -0.408041
         1.85417        -0.383348
         1.86458        -0.352532
           1.875        -0.316084
         1.88542        -0.274588
         1.89583        -0.228705
         1.90625        -0.179168
         1.91667         -0.12677
         1.92708        -0.072346
          1.9375        -0.016767
         1.94792          0.03908
         1.95833         0.094303
         1.96875         0.148019
         1.97917         0.199371
         1.98958         0.247538
               2         0.291751
         2.01042         0.331304
         2.02083         0.365563
         2.03125         0.393984
         2.04167         0.416111
         2.05208         0.431591
          2.0625         0.440176
         2.07292         0.441731
         2.08333         0.436229
         2.09375         0.423759
         2.10417         0.404519
         2.11458         0.378818
           2.125         0.347065
         2.13542         0.309768
         2.14583         0.267523
         2.15625         0.221005
         2.16667         0.170955
         2.17708         0.118176
          2.1875         0.063509
         2.19792         0.007826
         2.20833        -0.047981
         2.21875        -0.103022
         2.22917        -0.156416
         2.23958        -0.207312
            2.25        -0.254897
         2.26042         -0.29841
         2.27083        -0.337156
         2.28125        -0.370516
         2.29167        -0.397958
         2.30208        -0.419042
          2.3125        -0.433433
         2.32292          -0.4409
         2.33333        -0.441324
         2.34375        -0.434698
         2.35417        -0.421128
         2.36458        -0.400831
           2.375        -0.374132
         2.38542        -0.341455
         2.39583        -0.303325
         2.40625        -0.260349
         2.41667        -0.213214
         2.42708        -0.162673
          2.4375        -0.109533
         2.44792        -0.054644
         2.45833         0.001118
         2.46875         0.056862
         2.47917         0.111697
         2.48958         0.164749
             2.5         0.215169
         2.51042         0.262151
         2.52083         0.304947
         2.53125         0.342871
         2.54167         0.375317
         2.55208         0.401768
          2.5625         0.421802
         2.57292         0.435097
         2.58333         0.441443
         2.59375         0.440736
         2.60417          0.43299
         2.61458         0.418326
           2.625          0.39698
         2.63542         0.369292
         2.64583         0.335706
         2.65625         0.296757
         2.66667         0.253068
         2.67708         0.205336
          2.6875         0.154324
         2.69792         0.100846
         2.70833         0.045758
