time,COMPACTION_R0,COMPACTION_R1,COMPACTION_R2,COMPACTION_R3,COMPACTION_R4,COMPACTION_R5,COMPACTION_R6,COMPACTION_R7,COMPACTION_R8,INE_R0,INE_R1,INE_R2,INE_R3,INE_R4,INE_R5,INE_R6,INE_R7,INE_R8,ELA_R0,ELA_R1,ELA_R2,ELA_R3,ELA_R4,ELA_R5,ELA_R6,ELA_R7,ELA_R8
1.000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
366.0000000000,.2207433311976995,.2523850851940275,.2204313278256943,.2524584029617063,.3685871942688226,.2521458597301547,.2208966637857706,.2525385706244453,.2205839477212304,.2207433311976995,.2523850851940275,.2204313278256943,.2524584029617062,.3685871942688226,.2521458597301546,.2208966637857706,.2525385706244452,.2205839477212302,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
731.0000000000,.2217588074467064,.2534537640378947,.2214447704452777,.2535275604545795,.3697294518182650,.2532129624702180,.2219130357568535,.2536081556290476,.2215982829798764,.2217588074467064,.2534537640378947,.2214447704452777,.2535275604545796,.3697294518182650,.2532129624702181,.2219130357568535,.2536081556290475,.2215982829798760,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
1096.000000000,.2217631722948278,.2534583239013692,.2214491262927055,.2535321227730398,.3697342402482746,.2532175153103442,.2219174054554460,.2536127200735662,.2216026429916180,.2217631722948278,.2534583239013695,.2214491262927055,.2535321227730397,.3697342402482746,.2532175153103443,.2219174054554460,.2536127200735661,.2216026429916175,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000,.000000000000000
1461.000000000,.2217631720965018,.2534583236906279,.2214491261040285,.2535321225608228,.3697342400159245,.2532175150974314,.2219174052641046,.2536127198593520,.2216026427891205,.2217631722948278,.2534583239013695,.2214491262927055,.2535321227730397,.3697342402482746,.2532175153103443,.2219174054554460,.2536127200735661,.2216026429916175,-.1983260188020974E-09,-.2107413722696183E-09,-.1886769872283534E-09,-.2122170356111397E-09,-.2323501599454936E-09,-.2129128227890131E-09,-.1913414149345982E-09,-.2142141290739641E-09,-.2024975118142258E-09
1826.000000000,.2217631722674743,.2534583238677933,.2214491262564705,.2535321227370944,.3697342402096671,.2532175152729850,.2219174054149697,.2536127200342289,.2216026429570922,.2217631722948278,.2534583239013695,.2214491262927055,.2535321227730397,.3697342402482746,.2532175153103443,.2219174054554460,.2536127200735661,.2216026429916175,-.2735348406113225E-10,-.3357594757780191E-10,-.3623504621352858E-10,-.3594546535423682E-10,-.3860757546991778E-10,-.3735924070102925E-10,-.4047634796777722E-10,-.3933731118621608E-10,-.3452584051988339E-10
2191.000000000,.2217631737315922,.2534583253086572,.2214491276324485,.2535321240442587,.3697342414933178,.2532175164980557,.2219174065518378,.2536127211486570,.2216026440131758,.2217631737315923,.2534583253086573,.2214491276324485,.2535321240442586,.3697342414933178,.2532175164980556,.2219174065518377,.2536127211486567,.2216026440131752,.7494005416736795E-18,-.2220446025468870E-18,.7494005416736795E-18,-.8326672757066978E-19,.3330669102826791E-18,.3330669102826791E-18,-.3608224839854529E-18,.8881784231122453E-18,.2997602166694718E-17
2556.000000000,.2217631762480919,.2534583278194459,.2214491300938682,.2535321265002688,.3697342439688034,.2532175189149786,.2219174089152635,.2536127235224477,.2216026463540256,.2217631762480917,.2534583278194458,.2214491300938682,.2535321265002687,.3697342439688032,.2532175189149785,.2219174089152631,.2536127235224475,.2216026463540249,.7494005416736795E-18,-.2220446025468870E-18,.7494005416736795E-18,-.8326672757066978E-19,.3330669102826791E-18,.3330669102826791E-18,-.3608224839854529E-18,.8881784231122453E-18,.2997602166694718E-17
2921.000000000,.2217631766234061,.2534583281957042,.2214491304896119,.2535321268727642,.3697342443192324,.2532175192834982,.2219174093071152,.2536127238903045,.2216026467170128,.2217631766234059,.2534583281957041,.2214491304896119,.2535321268727641,.3697342443192320,.2532175192834981,.2219174093071148,.2536127238903043,.2216026467170121,.7494005416736795E-18,-.2220446025468870E-18,.7494005416736795E-18,-.8326672757066978E-19,.3330669102826791E-18,.3330669102826791E-18,-.3608224839854529E-18,.8881784231122453E-18,.2997602166694718E-17
3286.000000000,.2217631773842462,.2534583289494322,.2214491312173258,.2535321276228031,.3697342450763610,.2532175200247733,.2219174100326615,.2536127246333435,.2216026474585734,.2217631773842460,.2534583289494321,.2214491312173256,.2535321276228030,.3697342450763605,.2532175200247732,.2219174100326611,.2536127246333431,.2216026474585727,.7494005416736795E-18,-.2220446025468870E-18,.7494005416736795E-18,-.8326672757066978E-19,.3330669102826791E-18,.3330669102826791E-18,-.3608224839854529E-18,.8881784231122453E-18,.2997602166694718E-17
3651.000000000,.2217631775359224,.2534583291033957,.2214491313825776,.2535321277758926,.3697342452227341,.2532175201768467,.2219174101975862,.2536127247855962,.2216026476074467,.2217631775359222,.2534583291033956,.2214491313825776,.2535321277758923,.3697342452227335,.2532175201768464,.2219174101975858,.2536127247855957,.2216026476074461,.7494005416736795E-18,-.2220446025468870E-18,.7494005416736795E-18,-.8326672757066978E-19,.3330669102826791E-18,.3330669102826791E-18,-.3608224839854529E-18,.8881784231122453E-18,.2997602166694718E-17
